mxc: 0.50, mxy: 0.26, mzc: 0.46, mx: 3602, my: 1887, mz: 3298

22062  gxc: 5.14, gyc: 51.82, gzc: -12.63, gx: 587, gy: 5922, gz: -1443
axc: 0.00, ayc: -0.70, azc: -0.73, ax: 76, ay: -11538, az: -12049
mxc: 0.49, mxy: 0.25, mzc: 0.47, mx: 3508, my: 1775, mz: 3383

22290  gxc: 8.70, gyc: -19.56, gzc: -28.68, gx: 994, gy: -2235, gz: -3278
axc: 0.00, ayc: -0.83, azc: -0.62, ax: 71, ay: -13661, az: -10133
mxc: 0.46, mxy: 0.27, mzc: 0.47, mx: 3292, my: 1895, mz: 3350

22519  gxc: 121.02, gyc: -38.74, gzc: -14.46, gx: 13831, gy: -4427, gz: -1653
axc: 0.04, ayc: -0.82, azc: -0.84, ax: 631, ay: -13396, az: -13840
mxc: 0.47, mxy: 0.27, mzc: 0.46, mx: 3329, my: 1949, mz: 3285

22755  gxc: 7.54, gyc: 2.91, gzc: -24.11, gx: 862, gy: 333, gz: -2755
axc: 0.09, ayc: -0.68, azc: -0.71, ax: 1479, ay: -11087, az: -11580
mxc: 0.48, mxy: 0.30, mzc: 0.43, mx: 3448, my: 2156, mz: 3105

23012  gxc: 38.44, gyc: 52.63, gzc: -3.01, gx: 4393, gy: 6015, gz: -344
axc: 0.01, ayc: -0.54, azc: -0.48, ax: 189, ay: -8826, az: -7829
mxc: 0.47, mxy: 0.26, mzc: 0.46, mx: 3391, my: 1874, mz: 3257

